,repo_name,repo_lang
0,aulao_de_react,HTML
1,awesome_bucket,Ruby
2,awesome_bucket_capistrano,Ruby
3,black-challenge-4-inventory-api,JavaScript
4,black-challenge-4-inventory-api-1,
5,black-personal-finances-miniapp,JavaScript
6,black-websocket-backend,TypeScript
7,black-websocket-frontend,TypeScript
8,black-websocket-intro,TypeScript
9,buy_movies_credentials,
10,calculadora_de_gorjetas,HTML
11,crud-react-rails-todo-list,Ruby
12,e-commece-Api-Prod,Ruby
13,e-commerce-Api-Dev,Ruby
14,e-commerce-frontend-Dev,TypeScript
15,e-commerce-frontend-v2,TypeScript
16,e-commerce-mobile,TypeScript
17,e-commerce-mobile-Dev,TypeScript
18,find-my-coffee-mobile-prod,JavaScript
19,find-my-coffee-prod,Ruby
20,find-my-coffee-web-prod,JavaScript
21,GitHubAutenticationRails,Ruby
22,graphqlapp,Ruby
23,jobs-api-black,TypeScript
24,movie_rental,Ruby
25,onebitbooks,JavaScript
26,onebitflix,Ruby
27,onebitflix_backend,TypeScript
28,onebitflix_frontend,TypeScript
29,onebitfoodV2-api,Ruby
30,onebitfoodV2-nextjs,JavaScript
31,onebitlife,JavaScript
32,OneBitMessage,
33,onebitmessenger,Ruby
34,onebitshop-marketplace-front,TypeScript
35,product_python,Python
36,programador-homeoffice-api,Ruby
37,programador-homeoffice-frontend,JavaScript
38,programmer_hub,Ruby
39,reactnative-marketplace,JavaScript
40,recoil-react,JavaScript
41,rent_cars,Ruby
42,restaurant-reviews-api,TypeScript
43,ruby_twitter,Ruby
44,smartphone_store,Ruby
45,spotcode,Ruby
46,SpotcodeV2,Ruby
47,toms-jazz-school,CSS
48,Web-Scraping-Target,Ruby
49,yt-astro-tailwind-page,Astro
50,yt-bookings-api,JavaScript
51,yt-css-position,HTML
52,yt-intersection-api,HTML
53,yt-next13-newsletter,JavaScript
